text,sentiment
bht gussa aa raha 🤦,negative
thanks yaar! 🤦,positive
kal milte hain bhai? yaar,neutral
thanks yaar! 🤦,positive
koi reply karega? 🤦,neutral
bht gussa aa raha 😡,negative
chillana band kar 😡,negative
superb explanation bhai! 🤦,positive
love you guys ❤️ 😭,positive
thanks yaar! yaar,positive
haan theek hai 😡,neutral
ok done 😡,neutral
koi reply karega?,neutral
mazaq mat udao 😭,negative
bhai tu hadd karta hai 😭,negative
amazing experience! 🤦,positive
kal milte hain bhai? bro,neutral
mujhe notes bhejna,neutral
acha theek yaar,neutral
class kab start hogi? 🤦,neutral
bhai awesome kaam kiya! 😂,positive
bhai tu hadd karta hai bro,negative
chillana band kar yaar,negative
ye bilkul pasand nhi aaya bro,negative
superb explanation bhai! yaar,positive
kal milte hain bhai? bro,neutral
class kab start hogi? yaar,neutral
class kab start hogi? bhai,neutral
ok done,neutral
thanks yaar! 😭,positive
love you guys ❤️ 😡,positive
tu sabse best hai yaar bhai,positive
bahut bekaar scene tha bhai,negative
chillana band kar yaar,negative
bhai awesome kaam kiya!,positive
ok done bhai,neutral
amazing experience! 😂,positive
mazaq mat udao yaar,negative
fir dekhte hain bhai,neutral
superb explanation bhai! bro,positive
fir dekhte hain 😂,neutral
love you guys ❤️ 😂,positive
ye bilkul pasand nhi aaya 😂,negative
bahut bekaar scene tha yaar,negative
tu sabse best hai yaar bhai,positive
superb explanation bhai! bhai,positive
koi reply karega? 😭,neutral
haan theek hai yaar,neutral
acha theek 😭,neutral
haan theek hai 😭,neutral
koi reply karega? 😡,neutral
bhot irritating ho yaar 😡,negative
hmm sahi bro,neutral
ok done 😂,neutral
chillana band kar 😭,negative
tu sabse best hai yaar bro,positive
thanks yaar! 😂,positive
fir dekhte hain 😂,neutral
love you guys ❤️ 😭,positive
bahut bekaar scene tha,negative
koi reply karega? yaar,neutral
love you guys ❤️ bhai,positive
bahut bekaar scene tha 😂,negative
tu sabse best hai yaar 😂,positive
fir dekhte hain yaar,neutral
fir dekhte hain,neutral
bhot irritating ho yaar 😡,negative
love you guys ❤️ bhai,positive
ye kya bakwaas hai 😡,negative
bhai awesome kaam kiya! 🤦,positive
tu sabse best hai yaar,positive
superb explanation bhai! yaar,positive
faltu baatein mt kar,negative
tu kidhar hai? yaar,neutral
koi reply karega? bro,neutral
koi reply karega? 😂,neutral
kal milte hain bhai? 🤦,neutral
love you guys ❤️ bhai,positive
ok done yaar,neutral
tu sabse best hai yaar 😡,positive
tu kidhar hai? bhai,neutral
bhai tu hadd karta hai 😡,negative
bht gussa aa raha,negative
ok done,neutral
bhot irritating ho yaar 🤦,negative
bhot badhiya!,positive
tu kidhar hai?,neutral
bhot badhiya! yaar,positive
koi reply karega? 😡,neutral
ok done 😡,neutral
bhot badhiya! 😡,positive
chillana band kar bro,negative
class kab start hogi? 😡,neutral
bhot irritating ho yaar bhai,negative
hmm sahi 😡,neutral
bhai tu hadd karta hai 😭,negative
chillana band kar 😡,negative
aaj mood bht accha hai 😊 😡,positive
ye bilkul pasand nhi aaya 😭,negative
acha theek 😡,neutral
tu kidhar hai? 😭,neutral
bhot badhiya! bro,positive
kal milte hain bhai? 😡,neutral
superb explanation bhai! yaar,positive
mast bro proud of you! bro,positive
tu kidhar hai? 🤦,neutral
aaj mood bht accha hai 😊 bhai,positive
class kab start hogi? bro,neutral
faltu baatein mt kar bro,negative
bhot irritating ho yaar bhai,negative
bhot badhiya! yaar,positive
love you guys ❤️ 😡,positive
class kab start hogi? yaar,neutral
chillana band kar 🤦,negative
ye kya bakwaas hai bhai,negative
bhai tu hadd karta hai bro,negative
love you guys ❤️ 🤦,positive
bht gussa aa raha bhai,negative
ye kya bakwaas hai bro,negative
aaj mood bht accha hai 😊 🤦,positive
class kab start hogi? yaar,neutral
bht gussa aa raha yaar,negative
fir dekhte hain bhai,neutral
tu kidhar hai? 😂,neutral
koi reply karega? 😭,neutral
ok done bro,neutral
bhot badhiya! 😂,positive
love you guys ❤️ bro,positive
mujhe notes bhejna 😂,neutral
fir dekhte hain 😂,neutral
fir dekhte hain,neutral
amazing experience! bro,positive
fir dekhte hain bro,neutral
bhai tu hadd karta hai 😂,negative
kal milte hain bhai? 😂,neutral
tu kidhar hai? 😭,neutral
bhai awesome kaam kiya! yaar,positive
bhai tu hadd karta hai,negative
mast bro proud of you! 🤦,positive
bhai awesome kaam kiya! bro,positive
koi reply karega? 😡,neutral
superb explanation bhai! bro,positive
tu kidhar hai? 😡,neutral
mast bro proud of you!,positive
thanks yaar! 🤦,positive
mazaq mat udao 😂,negative
koi reply karega? bro,neutral
bhot badhiya!,positive
ye bilkul pasand nhi aaya,negative
superb explanation bhai! 🤦,positive
bhot irritating ho yaar yaar,negative
ye kya bakwaas hai 😡,negative
fir dekhte hain,neutral
class kab start hogi? yaar,neutral
amazing experience! yaar,positive
bhot badhiya! 🤦,positive
thanks yaar! bhai,positive
aaj mood bht accha hai 😊 😂,positive
mast bro proud of you! 😂,positive
chillana band kar 😭,negative
kal milte hain bhai? 😡,neutral
bhai awesome kaam kiya!,positive
koi reply karega? bro,neutral
hmm sahi bhai,neutral
koi reply karega? 😂,neutral
ye bilkul pasand nhi aaya 😡,negative
class kab start hogi? 😂,neutral
ye kya bakwaas hai yaar,negative
mazaq mat udao 😂,negative
superb explanation bhai! yaar,positive
class kab start hogi?,neutral
mujhe notes bhejna bhai,neutral
tu kidhar hai? bro,neutral
mujhe notes bhejna 😭,neutral
aaj mood bht accha hai 😊 🤦,positive
ok done bro,neutral
fir dekhte hain bro,neutral
tu kidhar hai? 😡,neutral
mast bro proud of you! 😡,positive
thanks yaar! bro,positive
bhot badhiya! 😭,positive
hmm sahi,neutral
mast bro proud of you! bro,positive
haan theek hai bro,neutral
amazing experience! 😂,positive
haan theek hai yaar,neutral
ye kya bakwaas hai 😡,negative
mast bro proud of you! 😡,positive
haan theek hai yaar,neutral
chillana band kar,negative
bht gussa aa raha yaar,negative
koi reply karega?,neutral
superb explanation bhai! 😭,positive
bhai tu hadd karta hai,negative
superb explanation bhai! bro,positive
koi reply karega? 😭,neutral
kal milte hain bhai? bro,neutral
mujhe notes bhejna,neutral
bht gussa aa raha 😡,negative
superb explanation bhai!,positive
amazing experience! 😭,positive
kal milte hain bhai? bro,neutral
ok done 😂,neutral
love you guys ❤️ 🤦,positive
ok done bro,neutral
thanks yaar! 😭,positive
bhai awesome kaam kiya! 😡,positive
amazing experience! 🤦,positive
hmm sahi 😡,neutral
faltu baatein mt kar bro,negative
bahut bekaar scene tha 😡,negative
thanks yaar! 😭,positive
mast bro proud of you! 😭,positive
bhot badhiya! yaar,positive
mazaq mat udao bhai,negative
mujhe notes bhejna 🤦,neutral
bhai tu hadd karta hai bhai,negative
faltu baatein mt kar 😡,negative
fir dekhte hain 😂,neutral
class kab start hogi? 🤦,neutral
ok done,neutral
mazaq mat udao 😭,negative
bht gussa aa raha 😡,negative
fir dekhte hain 🤦,neutral
bahut bekaar scene tha 😂,negative
koi reply karega? yaar,neutral
aaj mood bht accha hai 😊 yaar,positive
amazing experience!,positive
class kab start hogi? 🤦,neutral
fir dekhte hain yaar,neutral
fir dekhte hain 🤦,neutral
tu kidhar hai? yaar,neutral
acha theek yaar,neutral
bhai awesome kaam kiya!,positive
bhot irritating ho yaar 😡,negative
superb explanation bhai! bhai,positive
koi reply karega? 😂,neutral
superb explanation bhai! 😡,positive
koi reply karega? 😂,neutral
bahut bekaar scene tha 😂,negative
amazing experience! bhai,positive
thanks yaar! 😂,positive
mujhe notes bhejna 😂,neutral
class kab start hogi?,neutral
love you guys ❤️ 😭,positive
tu sabse best hai yaar 😂,positive
bahut bekaar scene tha 🤦,negative
haan theek hai yaar,neutral
tu kidhar hai?,neutral
bht gussa aa raha 😂,negative
bhot irritating ho yaar bro,negative
bht gussa aa raha 🤦,negative
ok done 🤦,neutral
ok done 😂,neutral
bht gussa aa raha 😭,negative
haan theek hai yaar,neutral
koi reply karega? 😭,neutral
ok done 😡,neutral
aaj mood bht accha hai 😊 yaar,positive
love you guys ❤️ 😭,positive
fir dekhte hain 😭,neutral
faltu baatein mt kar 😡,negative
bhot irritating ho yaar bhai,negative
mast bro proud of you! bhai,positive
mazaq mat udao bhai,negative
ok done bhai,neutral
bhot irritating ho yaar bhai,negative
mujhe notes bhejna yaar,neutral
class kab start hogi? bro,neutral
koi reply karega?,neutral
mast bro proud of you! bro,positive
kal milte hain bhai? 😂,neutral
ye bilkul pasand nhi aaya 😂,negative
bhai tu hadd karta hai,negative
ye bilkul pasand nhi aaya bhai,negative
love you guys ❤️ 😂,positive
mujhe notes bhejna 🤦,neutral
hmm sahi 😡,neutral
ye kya bakwaas hai,negative
ok done bro,neutral
bhai awesome kaam kiya!,positive
mujhe notes bhejna bro,neutral
ok done 😡,neutral
koi reply karega? 😭,neutral
ok done bro,neutral
ok done 😂,neutral
bahut bekaar scene tha bhai,negative
mast bro proud of you! 🤦,positive
mast bro proud of you! bhai,positive
mast bro proud of you! 🤦,positive
chillana band kar bro,negative
bhai tu hadd karta hai,negative
bahut bekaar scene tha yaar,negative
koi reply karega? 😂,neutral
love you guys ❤️ 😡,positive
amazing experience! 😡,positive
tu sabse best hai yaar 🤦,positive
chillana band kar bhai,negative
bhai awesome kaam kiya! yaar,positive
bhai awesome kaam kiya! 😭,positive
amazing experience! 🤦,positive
mazaq mat udao bro,negative
chillana band kar 😂,negative
ye bilkul pasand nhi aaya 😡,negative
bhot badhiya! 😭,positive
hmm sahi 😡,neutral
amazing experience!,positive
mujhe notes bhejna 🤦,neutral
ok done 😂,neutral
faltu baatein mt kar yaar,negative
fir dekhte hain 😭,neutral
ok done yaar,neutral
bhot badhiya! 🤦,positive
tu kidhar hai? bro,neutral
thanks yaar! bro,positive
koi reply karega?,neutral
mujhe notes bhejna 😡,neutral
fir dekhte hain 😡,neutral
bahut bekaar scene tha 🤦,negative
hmm sahi 😂,neutral
chillana band kar 😂,negative
hmm sahi yaar,neutral
koi reply karega? 😂,neutral
tu kidhar hai? 😡,neutral
ye bilkul pasand nhi aaya bhai,negative
koi reply karega? bro,neutral
ye bilkul pasand nhi aaya 🤦,negative
ok done 🤦,neutral
ok done 😂,neutral
bhot badhiya!,positive
bhai tu hadd karta hai 😂,negative
bht gussa aa raha 😂,negative
kal milte hain bhai? 🤦,neutral
mujhe notes bhejna bhai,neutral
thanks yaar! bhai,positive
bhai awesome kaam kiya! 😂,positive
ok done 😭,neutral
bahut bekaar scene tha 😂,negative
tu sabse best hai yaar,positive
bhai tu hadd karta hai bhai,negative
acha theek 😭,neutral
mast bro proud of you! 😭,positive
faltu baatein mt kar bro,negative
fir dekhte hain,neutral
fir dekhte hain 😭,neutral
mujhe notes bhejna 😡,neutral
ye kya bakwaas hai yaar,negative
acha theek 🤦,neutral
tu kidhar hai? bhai,neutral
koi reply karega? 🤦,neutral
amazing experience!,positive
bhai awesome kaam kiya! bro,positive
bht gussa aa raha 😭,negative
bhot irritating ho yaar,negative
acha theek bhai,neutral
ok done bhai,neutral
haan theek hai yaar,neutral
amazing experience! 😡,positive
kal milte hain bhai? 😭,neutral
mazaq mat udao 😭,negative
mast bro proud of you! 🤦,positive
bhai tu hadd karta hai 😭,negative
hmm sahi 😭,neutral
hmm sahi 🤦,neutral
mazaq mat udao,negative
ok done bhai,neutral
mazaq mat udao 😭,negative
bhot irritating ho yaar 😡,negative
tu kidhar hai? 😭,neutral
bhot badhiya! 😡,positive
mujhe notes bhejna bhai,neutral
bht gussa aa raha 😡,negative
haan theek hai 😡,neutral
bhai awesome kaam kiya! bhai,positive
tu kidhar hai? 😭,neutral
bahut bekaar scene tha 🤦,negative
haan theek hai,neutral
bht gussa aa raha,negative
class kab start hogi? 😡,neutral
mujhe notes bhejna bro,neutral
aaj mood bht accha hai 😊 yaar,positive
kal milte hain bhai? 😂,neutral
ok done 😭,neutral
kal milte hain bhai? 😂,neutral
tu sabse best hai yaar yaar,positive
superb explanation bhai! 😡,positive
chillana band kar 😡,negative
ye kya bakwaas hai 😂,negative
tu kidhar hai? yaar,neutral
ye kya bakwaas hai 😡,negative
tu sabse best hai yaar 😂,positive
bhai tu hadd karta hai 😂,negative
bhai awesome kaam kiya! yaar,positive
haan theek hai 😡,neutral
mazaq mat udao 😭,negative
bhai awesome kaam kiya!,positive
faltu baatein mt kar bhai,negative
love you guys ❤️ bro,positive
mast bro proud of you! bhai,positive
class kab start hogi? 😂,neutral
ye bilkul pasand nhi aaya,negative
kal milte hain bhai? bro,neutral
bht gussa aa raha 😡,negative
bhot badhiya!,positive
bhot badhiya! 😂,positive
tu kidhar hai? 🤦,neutral
bht gussa aa raha bro,negative
mazaq mat udao yaar,negative
mast bro proud of you! 😡,positive
tu sabse best hai yaar 🤦,positive
aaj mood bht accha hai 😊 🤦,positive
class kab start hogi? yaar,neutral
superb explanation bhai! bhai,positive
acha theek bro,neutral
fir dekhte hain 😡,neutral
class kab start hogi? 🤦,neutral
class kab start hogi? 😭,neutral
ok done,neutral
bhot irritating ho yaar 🤦,negative
bahut bekaar scene tha 😂,negative
bahut bekaar scene tha 😡,negative
amazing experience!,positive
koi reply karega? 😭,neutral
bhot badhiya! yaar,positive
ye bilkul pasand nhi aaya yaar,negative
thanks yaar! bhai,positive
bhai tu hadd karta hai,negative
mujhe notes bhejna 🤦,neutral
bhot badhiya!,positive
bhot badhiya! bhai,positive
bhot irritating ho yaar 😭,negative
bhai tu hadd karta hai bro,negative
love you guys ❤️,positive
mujhe notes bhejna 😭,neutral
mazaq mat udao 😡,negative
bhot badhiya! bhai,positive
mast bro proud of you! bro,positive
ok done bhai,neutral
tu kidhar hai? 😡,neutral
tu kidhar hai? 🤦,neutral
bht gussa aa raha 🤦,negative
class kab start hogi? 😡,neutral
bhot irritating ho yaar bro,negative
mujhe notes bhejna bro,neutral
mast bro proud of you! bhai,positive
hmm sahi 😡,neutral
bhai awesome kaam kiya! 😂,positive
acha theek 😡,neutral
acha theek,neutral
ye kya bakwaas hai 😭,negative
bhot irritating ho yaar bro,negative
hmm sahi 🤦,neutral
mujhe notes bhejna 😡,neutral
mazaq mat udao yaar,negative
love you guys ❤️ 😡,positive
bhai tu hadd karta hai yaar,negative
ye bilkul pasand nhi aaya yaar,negative
hmm sahi 😡,neutral
koi reply karega? 🤦,neutral
faltu baatein mt kar 😂,negative
bht gussa aa raha bhai,negative
bht gussa aa raha bro,negative
bht gussa aa raha 🤦,negative
bhot irritating ho yaar yaar,negative
haan theek hai 🤦,neutral
mazaq mat udao bhai,negative
kal milte hain bhai? 😡,neutral
bhot badhiya! bro,positive
ye bilkul pasand nhi aaya 😡,negative
bhot badhiya! 😂,positive
class kab start hogi? bhai,neutral
mujhe notes bhejna yaar,neutral
tu kidhar hai?,neutral
bhot badhiya! 🤦,positive
koi reply karega? 😭,neutral
ye kya bakwaas hai 😡,negative
mujhe notes bhejna 😡,neutral
kal milte hain bhai? yaar,neutral
aaj mood bht accha hai 😊 bro,positive
acha theek bhai,neutral
tu sabse best hai yaar 😡,positive
love you guys ❤️,positive
mazaq mat udao 😭,negative
amazing experience!,positive
ye kya bakwaas hai bro,negative
superb explanation bhai!,positive
mazaq mat udao,negative
bahut bekaar scene tha,negative
bhai tu hadd karta hai 😭,negative
tu sabse best hai yaar,positive
bht gussa aa raha bro,negative
bhot badhiya!,positive
tu kidhar hai? 😭,neutral
faltu baatein mt kar 😭,negative
mazaq mat udao 😂,negative
ye bilkul pasand nhi aaya bro,negative
superb explanation bhai! 😭,positive
tu sabse best hai yaar bhai,positive
bhot irritating ho yaar 🤦,negative
bht gussa aa raha yaar,negative
mazaq mat udao 😡,negative
bhot irritating ho yaar bro,negative
mujhe notes bhejna 😂,neutral
mazaq mat udao,negative
hmm sahi 😡,neutral
haan theek hai 🤦,neutral
ye bilkul pasand nhi aaya 😭,negative
bahut bekaar scene tha bro,negative
ok done 😂,neutral
mujhe notes bhejna,neutral
mazaq mat udao yaar,negative
bhot badhiya! 🤦,positive
bhai tu hadd karta hai,negative
bhot badhiya!,positive
mujhe notes bhejna 🤦,neutral
koi reply karega? bhai,neutral
hmm sahi 😭,neutral
superb explanation bhai! 😡,positive
aaj mood bht accha hai 😊 bhai,positive
ye bilkul pasand nhi aaya yaar,negative
bhot badhiya! bro,positive
chillana band kar bro,negative
bhai tu hadd karta hai 😂,negative
class kab start hogi? 😂,neutral
tu sabse best hai yaar 😂,positive
love you guys ❤️ 😭,positive
mujhe notes bhejna yaar,neutral
acha theek 😡,neutral
ye bilkul pasand nhi aaya 😂,negative
tu kidhar hai?,neutral
mujhe notes bhejna 🤦,neutral
bhot badhiya! yaar,positive
superb explanation bhai!,positive
acha theek yaar,neutral
haan theek hai bhai,neutral
mujhe notes bhejna 😭,neutral
tu kidhar hai? bhai,neutral
koi reply karega?,neutral
hmm sahi 😭,neutral
ye kya bakwaas hai 😡,negative
class kab start hogi? 🤦,neutral
hmm sahi 😂,neutral
bhot irritating ho yaar,negative
haan theek hai bro,neutral
tu sabse best hai yaar 😂,positive
haan theek hai 😭,neutral
bahut bekaar scene tha 🤦,negative
kal milte hain bhai? 🤦,neutral
hmm sahi yaar,neutral
bhai tu hadd karta hai bro,negative
faltu baatein mt kar 😡,negative
class kab start hogi? bhai,neutral
mazaq mat udao 😭,negative
thanks yaar! 😡,positive
bahut bekaar scene tha 😭,negative
kal milte hain bhai? yaar,neutral
bhai awesome kaam kiya! 🤦,positive
hmm sahi 😡,neutral
amazing experience! bhai,positive
bhot irritating ho yaar bro,negative
bhot irritating ho yaar bhai,negative
bhot badhiya! 😡,positive
thanks yaar! 😭,positive
aaj mood bht accha hai 😊 😭,positive
mast bro proud of you! 😂,positive
love you guys ❤️ 🤦,positive
mujhe notes bhejna 😡,neutral
kal milte hain bhai? 🤦,neutral
amazing experience! 😭,positive
ye kya bakwaas hai,negative
bht gussa aa raha,negative
ye bilkul pasand nhi aaya 🤦,negative
thanks yaar! yaar,positive
ye kya bakwaas hai bhai,negative
ye bilkul pasand nhi aaya 😭,negative
kal milte hain bhai? 🤦,neutral
chillana band kar bro,negative
love you guys ❤️ 😡,positive
acha theek 😭,neutral
acha theek yaar,neutral
love you guys ❤️ 😭,positive
bahut bekaar scene tha yaar,negative
bhai tu hadd karta hai,negative
koi reply karega? 😭,neutral
superb explanation bhai! 😂,positive
mujhe notes bhejna,neutral
bhot irritating ho yaar bhai,negative
kal milte hain bhai?,neutral
bhot badhiya! bro,positive
tu sabse best hai yaar bhai,positive
bhai tu hadd karta hai 😭,negative
aaj mood bht accha hai 😊 🤦,positive
thanks yaar! 😂,positive
amazing experience! 😂,positive
love you guys ❤️ 😭,positive
ye kya bakwaas hai bro,negative
hmm sahi 😭,neutral
fir dekhte hain,neutral
chillana band kar 😂,negative
chillana band kar 🤦,negative
bhot irritating ho yaar,negative
faltu baatein mt kar bro,negative
mujhe notes bhejna,neutral
koi reply karega? 😭,neutral
hmm sahi bhai,neutral
ok done yaar,neutral
bhot badhiya! 😡,positive
class kab start hogi? 🤦,neutral
ok done 🤦,neutral
fir dekhte hain yaar,neutral
bhot badhiya! 😂,positive
haan theek hai,neutral
ok done 😭,neutral
tu sabse best hai yaar yaar,positive
bhai tu hadd karta hai bro,negative
bhai awesome kaam kiya! 😡,positive
kal milte hain bhai? bhai,neutral
bhai awesome kaam kiya! 😂,positive
acha theek 😂,neutral
ye kya bakwaas hai 😂,negative
bhot irritating ho yaar,negative
haan theek hai yaar,neutral
haan theek hai,neutral
aaj mood bht accha hai 😊 yaar,positive
bht gussa aa raha bhai,negative
ok done 🤦,neutral
bhot badhiya! 😡,positive
mazaq mat udao 🤦,negative
bahut bekaar scene tha bhai,negative
ye kya bakwaas hai 😂,negative
love you guys ❤️ 😂,positive
ok done yaar,neutral
haan theek hai bhai,neutral
fir dekhte hain bro,neutral
ye bilkul pasand nhi aaya yaar,negative
class kab start hogi? bro,neutral
amazing experience! bro,positive
acha theek,neutral
superb explanation bhai! bhai,positive
bhai awesome kaam kiya! bhai,positive
superb explanation bhai! bhai,positive
aaj mood bht accha hai 😊,positive
tu sabse best hai yaar 😂,positive
bahut bekaar scene tha bro,negative
bhot badhiya! 😡,positive
haan theek hai 😡,neutral
ye kya bakwaas hai 😭,negative
bhai tu hadd karta hai,negative
tu kidhar hai? 🤦,neutral
chillana band kar,negative
bhai tu hadd karta hai bro,negative
ye bilkul pasand nhi aaya 😂,negative
bhai awesome kaam kiya!,positive
bahut bekaar scene tha yaar,negative
amazing experience! yaar,positive
koi reply karega? 🤦,neutral
superb explanation bhai! 🤦,positive
bahut bekaar scene tha 😭,negative
hmm sahi 😡,neutral
tu kidhar hai? 😭,neutral
superb explanation bhai! 😂,positive
love you guys ❤️ yaar,positive
bhot irritating ho yaar 😭,negative
bhai tu hadd karta hai 🤦,negative
tu kidhar hai?,neutral
bhai tu hadd karta hai bro,negative
class kab start hogi? bhai,neutral
amazing experience! 😂,positive
aaj mood bht accha hai 😊 yaar,positive
bht gussa aa raha bro,negative
aaj mood bht accha hai 😊 🤦,positive
mujhe notes bhejna 🤦,neutral
mazaq mat udao 😡,negative
class kab start hogi?,neutral
bht gussa aa raha bro,negative
bhai tu hadd karta hai 🤦,negative
haan theek hai,neutral
bhot irritating ho yaar bro,negative
chillana band kar 😂,negative
bhot irritating ho yaar,negative
chillana band kar 😂,negative
bhot irritating ho yaar bhai,negative
haan theek hai 😡,neutral
koi reply karega? bro,neutral
ye kya bakwaas hai yaar,negative
superb explanation bhai! bro,positive
bhai tu hadd karta hai bhai,negative
bht gussa aa raha 😭,negative
mast bro proud of you! yaar,positive
mazaq mat udao 😂,negative
mast bro proud of you!,positive
aaj mood bht accha hai 😊 bro,positive
mazaq mat udao 😂,negative
faltu baatein mt kar 😡,negative
fir dekhte hain yaar,neutral
acha theek 😭,neutral
bhai tu hadd karta hai 😡,negative
bhot badhiya! 🤦,positive
bhot irritating ho yaar yaar,negative
ye kya bakwaas hai,negative
kal milte hain bhai? bro,neutral
hmm sahi yaar,neutral
thanks yaar! 😡,positive
bahut bekaar scene tha bro,negative
mazaq mat udao bro,negative
bahut bekaar scene tha bro,negative
kal milte hain bhai? bhai,neutral
ye kya bakwaas hai bhai,negative
bahut bekaar scene tha 😭,negative
ye kya bakwaas hai 🤦,negative
ok done 🤦,neutral
fir dekhte hain 🤦,neutral
tu kidhar hai? 🤦,neutral
tu kidhar hai? 😡,neutral
ye bilkul pasand nhi aaya yaar,negative
tu kidhar hai? 😂,neutral
bhot badhiya!,positive
kal milte hain bhai? 😂,neutral
hmm sahi 😭,neutral
bhot irritating ho yaar,negative
acha theek bro,neutral
tu kidhar hai? yaar,neutral
fir dekhte hain 🤦,neutral
fir dekhte hain,neutral
tu sabse best hai yaar 😭,positive
faltu baatein mt kar bhai,negative
hmm sahi yaar,neutral
tu kidhar hai?,neutral
mazaq mat udao,negative
ye bilkul pasand nhi aaya,negative
thanks yaar! 🤦,positive
hmm sahi bhai,neutral
mujhe notes bhejna yaar,neutral
haan theek hai bhai,neutral
hmm sahi bhai,neutral
love you guys ❤️,positive
haan theek hai 😂,neutral
koi reply karega? 😭,neutral
koi reply karega? 😡,neutral
tu sabse best hai yaar,positive
hmm sahi yaar,neutral
bahut bekaar scene tha bhai,negative
class kab start hogi? yaar,neutral
acha theek,neutral
hmm sahi 😭,neutral
ye bilkul pasand nhi aaya 😂,negative
bhai awesome kaam kiya! bro,positive
thanks yaar! 😂,positive
koi reply karega? yaar,neutral
bhot badhiya! yaar,positive
fir dekhte hain bro,neutral
ye kya bakwaas hai,negative
mast bro proud of you! bhai,positive
acha theek 🤦,neutral
bht gussa aa raha 😡,negative
amazing experience! 🤦,positive
acha theek bro,neutral
mast bro proud of you! 😭,positive
bht gussa aa raha 🤦,negative
bht gussa aa raha 😂,negative
amazing experience! yaar,positive
class kab start hogi? bro,neutral
bahut bekaar scene tha 🤦,negative
bahut bekaar scene tha,negative
kal milte hain bhai? 🤦,neutral
haan theek hai yaar,neutral
mast bro proud of you! yaar,positive
mazaq mat udao yaar,negative
ok done yaar,neutral
faltu baatein mt kar 😭,negative
chillana band kar,negative
thanks yaar! bhai,positive
haan theek hai 🤦,neutral
aaj mood bht accha hai 😊 😡,positive
mazaq mat udao 😂,negative
fir dekhte hain 😡,neutral
ye kya bakwaas hai 😂,negative
bahut bekaar scene tha yaar,negative
tu sabse best hai yaar 😡,positive
ye kya bakwaas hai 😂,negative
mazaq mat udao bro,negative
ye bilkul pasand nhi aaya 😭,negative
bahut bekaar scene tha 😂,negative
ok done 🤦,neutral
thanks yaar!,positive
bahut bekaar scene tha 😡,negative
ye kya bakwaas hai yaar,negative
acha theek yaar,neutral
bahut bekaar scene tha bro,negative
bhot badhiya!,positive
class kab start hogi? yaar,neutral
faltu baatein mt kar bro,negative
faltu baatein mt kar yaar,negative
class kab start hogi? yaar,neutral
mast bro proud of you! bro,positive
ye kya bakwaas hai yaar,negative
kal milte hain bhai? yaar,neutral
bhot irritating ho yaar 😭,negative
koi reply karega? 😭,neutral
acha theek,neutral
superb explanation bhai! 🤦,positive
haan theek hai 😂,neutral
bhot irritating ho yaar yaar,negative
bhai awesome kaam kiya!,positive
bht gussa aa raha,negative
mujhe notes bhejna,neutral
haan theek hai yaar,neutral
ye kya bakwaas hai bhai,negative
bhai tu hadd karta hai 🤦,negative
mujhe notes bhejna yaar,neutral
haan theek hai,neutral
fir dekhte hain 😂,neutral
mujhe notes bhejna yaar,neutral
